thread,a,tentativa,medicao,binario,fase,r,x,f1,f2,tempo,tempo_hadamard,tempo_modexp,tempo_qft,success
10,490,6,392,10001000,0.382812,128,-531,1,1,0.0841579,0.002197,0.0018444,0.0027232,0
7,48,6,349,01011101,0.34082,267,-531,1,1,0.0876379,0.0029559,0.0033505,0.0033175,0
3,270,6,393,10001001,0.383789,185,-531,1,1,0.0894591,0.0025058,0.0026809,0.0020658,0
8,372,7,961,11000001,0.938477,65,-531,1,1,0.0863427,0.0030159,0.0029099,0.0027739,0
2,79,6,793,00011001,0.774414,297,-531,1,1,0.096773,0.0030882,0.0030846,0.0029116,0
0,200,7,160,10100000,0.15625,32,-531,1,1,0.0963309,0.0025631,0.0026638,0.0028945,0
5,305,6,44,00101100,0.0429688,256,-531,1,1,0.110391,0.0040483,0.0037041,0.0032815,0
6,252,7,962,11000010,0.939453,512,-531,1,1,0.0838516,0.0046973,0.004405,0.0034023,0
9,327,7,343,01010111,0.334961,409,-531,1,1,0.0830764,0.0017422,0.0016097,0.0015515,0
10,490,7,52,00110100,0.0507812,256,-531,1,1,0.0823374,0.0018845,0.0018099,0.0017057,0
1,293,7,993,11100001,0.969727,529,-531,1,1,0.105281,0.0024601,0.0024183,0.0024371,0
7,48,7,6,00000110,0.00585938,512,-531,1,1,0.0876021,0.0023632,0.0022758,0.0021523,0
3,270,7,159,10011111,0.155273,161,-531,1,1,0.0934734,0.0030266,0.0020464,0.0024731,0
2,79,7,34,00100010,0.0332031,512,-531,1,1,0.0803181,0.0024023,0.0027746,0.0026734,0
4,53,7,875,01101011,0.854492,323,-531,1,1,0.114243,0.0025185,0.0027704,0.0026897,0
0,200,8,73,01001001,0.0712891,519,-531,1,1,0.0799866,0.0021123,0.0022839,0.0026723,0
8,372,8,719,11001111,0.702148,47,-531,1,1,0.096859,0.0030298,0.0026603,0.0024942,0
5,305,7,471,11010111,0.459961,487,-531,1,1,0.0865223,0.0026736,0.0025055,0.0025002,0
6,252,8,78,01001110,0.0761719,512,-531,1,1,0.0964842,0.0029147,0.002566,0.0028109,0
9,327,8,49,00110001,0.0478516,209,-531,1,1,0.0801104,0.0022401,0.0018941,0.0021174,0
1,293,8,217,11011001,0.211914,151,-531,1,1,0.0716122,0.0026978,0.0023571,0.0024867,0
10,490,8,963,11000011,0.94043,235,-531,1,1,0.0880625,0.0024346,0.002187,0.0016409,0
7,48,8,499,11110011,0.487305,197,-531,1,1,0.0794057,0.0023798,0.0025898,0.0024656,0
3,270,8,174,10101110,0.169922,512,-531,1,1,0.0787351,0.0021511,0.0020008,0.0022897,0
2,79,8,670,10011110,0.654297,512,-531,1,1,0.0853937,0.0021935,0.0022006,0.0021755,0
4,53,8,67,01000011,0.0654297,107,-531,1,1,0.0911815,0.0024086,0.0025688,0.0025065,0
0,200,9,779,00001011,0.760742,163,-531,1,1,0.0903509,0.0033311,0.0029595,0.0027402,0
8,372,9,632,01111000,0.617188,128,-531,1,1,0.082413,0.0025745,0.0025005,0.0024281,0
6,252,9,641,10000001,0.625977,385,-531,1,1,0.0889604,0.0017572,0.0016536,0.0019655,0
5,305,8,313,00111001,0.305664,265,-531,1,1,0.101157,0.0024493,0.0023357,0.0025299,0
1,293,9,237,11101101,0.231445,229,-531,1,1,0.0817748,0.0026542,0.0026606,0.0025506,0
9,327,9,749,11101101,0.731445,283,-531,1,1,0.0999115,0.002079,0.0018815,0.0019062,0
10,490,9,632,01111000,0.617188,128,-531,1,1,0.0779823,0.002393,0.0017271,0.0021205,0
7,48,9,840,01001000,0.820312,128,-531,1,1,0.0948234,0.0023286,0.0024806,0.0023707,0
2,79,9,978,11010010,0.955078,512,-531,1,1,0.0795833,0.0020742,0.0022993,0.0025834,0
3,270,9,891,01111011,0.870117,77,-531,1,1,0.0912388,0.0024454,0.00233,0.0019236,0
0,200,10,709,11000101,0.692383,530,-531,1,1,0.0771526,0.0031251,0.0027406,0.0024108,0
4,53,9,224,11100000,0.21875,32,-531,1,1,0.0820902,0.0036857,0.0032571,0.0028352,0
8,372,10,673,10100001,0.657227,353,-531,1,1,0.0829493,0.0030501,0.002927,0.0026044,0
6,252,10,243,11110011,0.237305,59,-531,1,1,0.0899287,0.0020963,0.0021283,0.0021051,0
5,305,9,977,11010001,0.954102,305,-531,1,1,0.0947533,0.0024451,0.0026038,0.0025186,0
9,327,10,813,00101101,0.793945,529,-531,1,1,0.0859683,0.0021377,0.0021577,0.0027506,0
10,490,10,133,10000101,0.129883,77,-531,1,1,0.0829713,0.0024678,0.0027548,0.0024346,0
1,293,10,79,01001111,0.0771484,337,-531,1,1,0.096092,0.0026412,0.0020968,0.0023972,0
0,200,11,337,01010001,0.329102,79,-531,1,1,0.0769502,0.0021819,0.0021762,0.0022179,0
7,48,10,918,10010110,0.896484,512,-531,1,1,0.092191,0.0016085,0.0023566,0.0025925,0
3,270,10,630,01110110,0.615234,512,-531,1,1,0.0950088,0.002251,0.0025192,0.0029089,0
4,53,10,132,10000100,0.128906,256,-531,1,1,0.0926823,0.0028602,0.003007,0.0027221,0
2,79,10,947,10110011,0.924805,133,-531,1,1,0.103068,0.0026721,0.0026124,0.0024596,0
6,252,11,291,00100011,0.28418,373,-531,1,1,0.0720775,0.0022782,0.0023159,0.002254,0
8,372,11,839,01000111,0.819336,393,-531,1,1,0.10286,0.0025958,0.0024381,0.0025289,0
5,305,10,255,11111111,0.249023,257,-531,1,1,0.0846861,0.0025672,0.0022896,0.0017541,0
1,293,11,337,01010001,0.329102,79,-531,1,1,0.0776149,0.002195,0.0020275,0.0017285,0
10,490,11,404,10010100,0.394531,256,-531,1,1,0.088823,0.0022324,0.0020786,0.0016616,0
9,327,11,326,01000110,0.318359,512,-531,1,1,0.109047,0.0038856,0.0028862,0.0024259,0
0,200,12,515,00000011,0.50293,171,-531,1,1,0.0838982,0.0025822,0.002475,0.0023633,0
3,270,11,157,10011101,0.15332,437,-531,1,1,0.0854585,0.0022051,0.002276,0.0021644,0
4,53,11,609,01100001,0.594727,417,-531,1,1,0.0846405,0.0023089,0.0024003,0.0025716,0
7,48,11,273,00010001,0.266602,529,-531,1,1,0.0976762,0.0019404,0.0020578,0.002129,0
2,79,11,117,01110101,0.114258,35,-531,1,1,0.0877576,0.0021793,0.0021047,0.0028648,0
6,252,12,849,01010001,0.829102,433,-531,1,1,0.0854514,0.0032276,0.0029641,0.0024319,0
5,305,11,717,11001101,0.700195,517,-531,1,1,0.073636,0.0023217,0.0023572,0.0025536,0
8,372,12,543,00011111,0.530273,479,-531,1,1,0.0982456,0.0029185,0.0026578,0.0025552,0
1,293,12,158,10011110,0.154297,512,-531,1,1,0.0954215,0.0017889,0.0024323,0.0024359,0
10,490,12,328,01001000,0.320312,128,-531,1,1,0.0930004,0.0022094,0.0024024,0.0024201,0
9,327,12,867,01100011,0.84668,437,-531,1,1,0.101551,0.0020837,0.0021246,0.0020923,0
3,270,12,224,11100000,0.21875,32,-531,1,1,0.0923901,0.0021796,0.0020841,0.0019052,0
0,200,13,261,00000101,0.254883,514,-531,1,1,0.106138,0.0027988,0.0027128,0.0027115,0
4,53,12,22,00010110,0.0214844,512,-531,1,1,0.0891448,0.0020863,0.0020626,0.002714,0
7,48,12,433,10110001,0.422852,175,-531,1,1,0.089131,0.0026944,0.0025703,0.0028829,0
2,79,12,985,11011001,0.961914,105,-531,1,1,0.0927534,0.0028198,0.0035915,0.0039628,0
6,252,13,394,10001010,0.384766,512,-531,1,1,0.0862591,0.0037986,0.003503,0.0029307,0
8,372,13,165,10100101,0.161133,211,-531,1,1,0.0785559,0.0029504,0.0028825,0.0023759,0
5,305,12,582,01000110,0.568359,512,-531,1,1,0.100014,0.0025802,0.0023541,0.0023935,0
9,327,13,454,11000110,0.443359,512,-531,1,1,0.0650071,0.0016235,0.0015865,0.0017018,0
1,293,13,374,01110110,0.365234,512,-531,1,1,0.0989313,0.0023977,0.0025551,0.0024074,0
10,490,13,156,10011100,0.152344,256,-531,1,1,0.102763,0.0025735,0.0025402,0.0023253,0
0,200,14,847,01001111,0.827148,81,-531,1,1,0.0762398,0.0018175,0.0029266,0.0030761,0
7,48,13,516,00000100,0.503906,256,-531,1,1,0.0837478,0.0028588,0.0025388,0.0025824,0
4,53,13,936,10101000,0.914062,128,-531,1,1,0.0909578,0.0024668,0.0028961,0.003074,0
6,252,14,657,10010001,0.641602,399,-531,1,1,0.0832366,0.0025194,0.0026637,0.0022368,0
3,270,13,199,11000111,0.194336,530,-531,1,1,0.0976517,0.0024798,0.0025863,0.0023996,0
2,79,13,362,01101010,0.353516,512,-531,1,1,0.0921113,0.0028904,0.0033289,0.003243,0
5,305,13,115,01110011,0.112305,187,-531,1,1,0.0818505,0.0017665,0.0016043,0.0016201,0
8,372,14,631,01110111,0.616211,185,-531,1,1,0.10668,0.0024843,0.002345,0.002328,0
9,327,14,621,01101101,0.606445,155,-531,1,1,0.0820524,0.0016596,0.0024897,0.0025814,0
1,293,14,723,11010011,0.706055,347,-531,1,1,0.0858236,0.0024458,0.002117,0.0022252,0
10,490,14,1008,11110000,0.984375,64,-531,1,1,0.0900356,0.0025382,0.002408,0.0023174,0
0,200,15,368,01110000,0.359375,64,-531,1,1,0.100083,0.0024062,0.0024285,0.0024464,0
4,53,14,838,01000110,0.818359,512,-531,1,1,0.0916896,0.0020899,0.0024342,0.0029333,0
2,79,14,124,01111100,0.121094,256,-531,1,1,0.086466,0.0034471,0.0028056,0.0024443,0
3,270,14,394,10001010,0.384766,512,-531,1,1,0.0927134,0.0037715,0.0027816,0.0028113,0
6,252,15,614,01100110,0.599609,512,-531,1,1,0.093811,0.0037569,0.0026253,0.0027728,0
7,48,14,622,01101110,0.607422,512,-531,1,1,0.104221,0.0022429,0.0024289,0.0029949,0
5,305,14,1017,11111001,0.993164,439,-531,1,1,0.0812816,0.0033294,0.0027818,0.0022748,0
8,372,15,563,00110011,0.549805,522,-531,1,1,0.0848777,0.0024444,0.0024554,0.0024236,0
9,327,15,799,00011111,0.780273,223,-531,1,1,0.0934016,0.0022449,0.0017848,0.0023987,0
1,293,15,388,10000100,0.378906,256,-531,1,1,0.0838099,0.0037454,0.0027124,0.0024503,0
